App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Swiss Cantons - Quiz about Switzerland's Geography,com.asmolgam.switzerland,Trivia,4.5,1452,"100,000+",100000,121554,TRUE,0,USD,6.0M,4.4 and up,Andrey Solovyev,https://asmolgam-site.web.app,asmolgam@gmail.com,"Sep 5, 2014","Feb 19, 2021",Everyone,https://asmolgam.com/privacy/,TRUE,TRUE,FALSE,16-06-2021 02:47
Jain Coaching Center,co.arya.dljzm,Education,0,0,5+,5,8,TRUE,0,USD,40M,4.2 and up,Education Sky Media,,support@classplus.co,"Oct 5, 2020","Jun 11, 2021",Everyone,https://bit.ly/33pSGFX,FALSE,FALSE,FALSE,16-06-2021 02:47
Palm Branch: Daily Bible Verses and Bible Study,com.gracefaithhopejoy.palmbranch,Education,0,0,10+,10,38,TRUE,0,USD,9.1M,5.0 and up,Grace Faith Hope Joy,https://www.gracefaithhopejoy.com/palm-branch,info@gracefaithhopejoy.com,"Feb 13, 2021","Mar 04, 2021",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
poetry 4 languages,com.sos.apk,Education,0,0,1+,1,4,TRUE,0,USD,2.7M,2.3.3 and up,Caksys,,sisbunciso@gmail.com,"Nov 25, 2017","Nov 26, 2017",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
Food Master: Best Impasta!,com.game.jam.guy.fieri.flavor.town,Casual,4.3,652,"100,000+",100000,374365,TRUE,0,USD,75M,4.4 and up,Gamejam,https://www.gamejam.co/,hello@gamejam.co,"Mar 15, 2021","May 19, 2021",Everyone,https://www.gamejam.co/privacy,TRUE,FALSE,FALSE,16-06-2021 02:47
a+HRD,tw.com.aenrich.aenrichhrd,Business,3.1,92,"10,000+",10000,28982,TRUE,0,USD,15M,5.1 and up,育碁數位科技,http://www.aenrich.com.tw,aenrichhrd@gmail.com,"Jul 1, 2016","May 26, 2021",Everyone,http://www.aenrich.com.tw/company/privacy.asp?MenuItemID=009,FALSE,FALSE,FALSE,16-06-2021 02:47
Radio FM Free,online.radio.ice85,Music & Audio,4.2,167,"50,000+",50000,92498,TRUE,0,USD,27M,4.4 and up,ICE85,,ice85.mail@inbox.lv,"Apr 29, 2014","Oct 27, 2019",Teen,https://sites.google.com/view/radiofmfree/,TRUE,FALSE,FALSE,16-06-2021 02:47
Lowrider Car Game Pro,com.Stop4Sanity.LowriderCarGamePro,Racing,4.7,729,"10,000+",10000,16071,FALSE,0.99,USD,43M,,Stop4Sanity LLC,http://www.thelowridergame.com,tlgadmin@thelowridergame.com,"Oct 9, 2011","Apr 20, 2021",Everyone,http://www.stop4sanity.com/privacy/lowridercargame.php,FALSE,TRUE,FALSE,16-06-2021 02:47
Chicken Gun Strike Game: Counter Shooting Games,com.tinyclip.chicken.commando.fps.shooting,Action,3.5,20,"5,000+",5000,6034,TRUE,0,USD,64M,4.1 and up,TinyClip,,tinyclip.nts@gmail.com,"Mar 15, 2020","Mar 15, 2020",Teen,https://tinyclipnts.blogspot.com,FALSE,FALSE,FALSE,16-06-2021 02:47
Login2 Chitty,com.login2itsolutions.chitty,Finance,0,0,10+,10,47,TRUE,0,USD,3.7M,4.1 and up,Login2 IT Solutions,http://www.login2itsolutions.com,mail@login2itsolutions.com,"Feb 13, 2019","Nov 27, 2019",Everyone,http://login2itsolutions.com/contact-us-login2-it-solutions-kannur/,FALSE,FALSE,FALSE,16-06-2021 02:47
E Smart Gps,com.enovas.gpstracker,Business,0,0,10+,10,20,TRUE,0,USD,2.5M,4.0.3 and up,Enovas Technosoft Pvt Ltd,http://www.e-novas.com,rasrajan@e-novas.com,"Jun 29, 2018","Jun 29, 2018",Everyone,http://www.e-novas.com,FALSE,FALSE,FALSE,16-06-2021 02:47
Загадочные места,com.carrot.mistery,Books & Reference,4.4,118,"10,000+",10000,25760,TRUE,0,USD,17M,4.1 and up,CarrotApps,,idleprogram@gmail.com,"Jul 17, 2017","Oct 01, 2020",Everyone,https://boniland.ru/privacy/privacy_carrotapps.htm,TRUE,TRUE,FALSE,16-06-2021 02:47
Clodaghs Health and Beauty,com.phorest.clodaghshealthandbeauty,Lifestyle,0,0,50+,50,79,TRUE,0,USD,35M,4.1 and up,Phorest,http://clodaghshealthandbeautysalon.com/,deploy@phorest.com,"Jan 5, 2016","Sep 16, 2019",Everyone,https://zanadoo.me/pages/privacy,FALSE,FALSE,FALSE,16-06-2021 02:47
BREAKTHROUGH ACADEMY,com.megasporangium.connect,Education,0,0,1+,1,3,TRUE,0,USD,142M,5.1 and up,New Hope Labs,,winualldevs@gmail.com,"Apr 30, 2021","May 17, 2021",Everyone,https://www.winuall.com/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:47
電気理論暗記１,jp.velocityvent.akirasakurai.denkirironanki1,Education,0,0,"1,000+",1000,4645,TRUE,0,USD,2.7M,2.3.3 and up,VelocityVentEngineering,http://velocityvent.web.fc2.com/,asre-st-fd-ek@able.ocn.ne.jp,"Mar 9, 2015","Jul 25, 2015",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
Pigeon Sounds,com.andromo.dev565044.app537747,Music & Audio,3.1,29,"10,000+",10000,16281,TRUE,0,USD,3.6M,4.1 and up,King Star Studio,https://c2a4a8f71.app-ads-txt.com/app-ads.txt,nadiakingstudio@gmail.com,"Oct 2, 2016","May 17, 2020",Everyone,https://sites.google.com/view/nadia-privacy-policy/accueil,TRUE,FALSE,FALSE,16-06-2021 02:47
Women Empowerment & Feminism Quotes,com.womenempowerment.quotes,Lifestyle,0,0,100+,100,195,TRUE,0,USD,12M,4.4 and up,Mr Perfect,,mrperfectuser@gmail.com,"Nov 21, 2020","Nov 21, 2020",Everyone 10+,https://mrperfectuser.blogspot.com/p/blog-page.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Carroll Insurance Agy Onlin,com.appliedsystems.mobileinsured.carro09,Business,0,0,1+,1,2,TRUE,0,USD,118M,5.0 and up,Applied Systems Inc.,,mobileinsured@appliedsystems.com,"Sep 13, 2019","Apr 18, 2021",Everyone,https://www1.appliedsystems.com/en-us/applied-mobileinsured-app-privacy-policy/,FALSE,FALSE,FALSE,16-06-2021 02:47
LineOfCode,com.psychotech.anuragraphy.lineofcode,Social,,,10+,10,47,TRUE,0,USD,Varies with device,Varies with device,Anurag Bhattacharjee,http://techstorism.wordpress.com,devanurag68@gmail.com,,"Apr 07, 2019",Teen,https://techstorism.wordpress.com/privacy-policy-lineofcode,TRUE,FALSE,FALSE,16-06-2021 02:47
Portuguese Bible App: Nova Almeida Atualizada,com.neil.castellino.bible_naa_portuguese,Books & Reference,4.7,21,500+,500,594,TRUE,0,USD,4.9M,4.1 and up,Neil Castellino,https://sites.google.com/view/neilcastellinoapps/home,tangsui777@gmail.com,"Sep 4, 2020","Sep 04, 2020",Everyone,https://sites.google.com/view/neilcastellinoapps/privacy_policy,TRUE,TRUE,FALSE,16-06-2021 02:47
Widgets iOS 14,com.ezsoft.widgets.ios14,Personalization,4.3,1437,"100,000+",100000,308533,TRUE,0,USD,17M,8.0 and up,Antivirus Mobile Lab,,jockeykhan500@gmail.com,"Feb 17, 2021","Feb 17, 2021",Everyone,https://docs.google.com/document/d/1l3-cweYrszLs0R6fcWZnBlklaxiv-f13mSy_G-C5NSY/edit,TRUE,FALSE,FALSE,16-06-2021 02:47
English-Ukrainian Translator,com.translator.english.ukrainian,Productivity,0,0,5+,5,8,TRUE,0,USD,5.0M,5.0 and up,Vishal Doshi,https://www.globexploration.com,technicalbazaar@gmail.com,"Jun 10, 2018","Dec 12, 2019",Everyone,https://www.globexploration.com/privacy-policy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Aprende Cultura General,com.app.city.test.testOposCulturaGeneral,Education,4.4,3312,"1,000,000+",1000000,2484228,TRUE,0,USD,6.9M,4.3 and up,The city of the apps,http://www.eluniversodeandroid.com/Apps/index.php,thecityoftheapps@gmail.com,"Nov 11, 2014","Apr 28, 2021",Everyone,http://www.eluniversodeandroid.com/politica_privacidad/politica_privacidad_aprende_cultura_general.html,TRUE,FALSE,FALSE,16-06-2021 02:47
This is Happiness,com.patel.thisishappiness,Entertainment,0,0,5+,5,7,TRUE,0,USD,26M,5.0 and up,Parth_Patel,,parth.29p@gmail.com,"Mar 20, 2020","Mar 21, 2020",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
Rogo Coder™ – Kids Can Code!,com.QiiQ.RogoCoder,Educational,0,0,"1,000+",1000,3672,TRUE,0,USD,37M,4.3 and up,QiiQ Communications Inc.,https://rogocoder.com,info@rogocoder.com,"Nov 14, 2019","Jul 13, 2020",Everyone,https://www.w5go.com/privacyPolicy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Hipkart,com.hipkart,Shopping,4.2,12,500+,500,809,TRUE,0,USD,17M,4.4 and up,HipKloud Tov,https://www.hipkart.com/,apps@mandeep.info,"Jan 6, 2016","Sep 28, 2019",Everyone,https://www.hipkart.com/privacy_policy,FALSE,FALSE,FALSE,16-06-2021 02:47
MedElkaar,nl.boomerweb.medelkaar,Medical,0,0,50+,50,70,TRUE,0,USD,4.6M,4.1 and up,Boomerweb,http://boomerweb.nl,info@boomerweb.nl,"Nov 26, 2018","Dec 04, 2018",Everyone,https://boomerweb.nl/privacy/medelkaar.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Mecca Islamic Theme: Ramadan,com.cyou.cma.clauncher.theme.v541afa99f167f0bb1f4b43f9,Personalization,4.7,3763,"100,000+",100000,304948,TRUE,0,USD,2.0M,4.0 and up,Best theme workshop,http://www.c-launcher.com/,wangshucyinc@gmail.com,"Sep 22, 2014","Apr 21, 2019",Everyone,http://m.themes.c-launcher.com/privacy.policy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Jubilant Design,me.twig.twigme.JubilantDesign,Business,0,0,"1,000+",1000,1575,TRUE,0,USD,14M,4.1 and up,Zestl,,support@zestl.com,"Jul 30, 2018","Mar 02, 2019",Everyone,https://twig.me/screens/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Poopdie,com.bulbware.poopdieandroid,Action,4.1,15454,"500,000+",500000,686557,TRUE,0,USD,59M,4.4 and up,Bulbware,http://www.bulbware.com,contact@bulbware.com,"Dec 9, 2019","May 20, 2021",Teen,http://www.bulbware.com/main-page/privacy-policy/,TRUE,TRUE,FALSE,16-06-2021 02:47
Football players wallpaper HD 4K 2019,com.soccer.players.wallpaper,Sports,4.4,127,"10,000+",10000,27866,TRUE,0,USD,16M,4.0 and up,Enissaystudio,,enissaywins@gmail.com,"Dec 7, 2018","Dec 07, 2018",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
주평강온-주평강교회,com.hustay.swing.p55df8593a4834ed197ff8c0c8ecf368c,Communication,0,0,500+,500,974,TRUE,0,USD,8.0M,4.0.3 and up,JYPARK,,haha0258@gmail.com,"Feb 29, 2020","Aug 18, 2020",Everyone,http://www.swing2app.co.kr/app_policy.jsp?app_id=55df8593-a483-4ed1-97ff-8c0c8ecf368c,FALSE,FALSE,FALSE,16-06-2021 02:47
Learn German-German Words-Vocabulary for Beginners,kuma.lingocards.german,Education,4.3,90,"10,000+",10000,10088,TRUE,0,USD,64M,5.0 and up,LETS Limited,http://www.lingo-apps.com,support.googleplay@lingo-apps.com,"Oct 1, 2015","May 13, 2021",Everyone,http://lingo-apps.com/privacy-policy/,TRUE,TRUE,FALSE,16-06-2021 02:47
"Catan - ""Play it smart"" Räuber",de.kosmos.catan.playitsmartraeuber,Board,3.6,415,"50,000+",50000,65836,TRUE,0,USD,57M,4.1 and up,Franckh-Kosmos Verlags GmbH & Co. KG,http://www.kosmos.de/content-196-196/Apps/,apps@kosmos.de,,"Feb 14, 2020",Everyone,https://www.kosmos.de/content/kosmos-datenschutz#c18156-7,FALSE,FALSE,FALSE,16-06-2021 02:47
Kwik Messenger,com.kwik.messenger,Maps & Navigation,4.7,29,"1,000+",1000,3376,TRUE,0,USD,40M,4.1 and up,Africa Delivery Technologies,https://kwik.delivery,od@kwik.delivery,"Jul 9, 2019","May 18, 2021",Everyone,https://kwik.delivery/terms-and-conditions/,FALSE,FALSE,FALSE,16-06-2021 02:47
Lazvab Nashte Breakfast Recipe,com.dheeruapps.laazbaabnashte,Lifestyle,4.3,65,"50,000+",50000,68083,TRUE,0,USD,3.9M,2.2 and up,Dheeruapps,http://dheeruapps.com,dheerubhadoria@gmail.com,"Oct 15, 2016","Jun 10, 2017",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
Knovi Mobile,com.Knovi.KnoviMobile.Android,Business,0,0,10+,10,22,TRUE,0,USD,39M,8.0 and up,Guardian Sensor Technologies,https://info.tremcoroofing.com/knovimonitoring,support@guardiansensor.com,"Dec 9, 2019","Nov 20, 2020",Everyone,http://tremcoroofing.com/privacy-policy/,FALSE,FALSE,FALSE,16-06-2021 02:47
Rajasthani Ringtone 2021 | राजस्थानी न्यू रिंगटोन,com.new.rajasthniringtone,Music & Audio,4.3,57,"10,000+",10000,33902,TRUE,0,USD,11M,4.4 and up,OMNATH SIDH,https://playstoreindiaapp.blogspot.com/,radhaom52@gmail.com,"Apr 16, 2020","Feb 10, 2021",Everyone,https://playstoreindiaapp.blogspot.com/p/rajasthani-ringtone-privcy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Brilliant Bills,com.netsells.onatop,Finance,4.5,11,100+,100,142,TRUE,0,USD,12M,4.1 and up,Simon Woodiwiss,http://brilliantbills.com/,simon@brilliantbills.com,"Nov 19, 2015","Feb 03, 2018",Everyone,http://brilliantbills.com/,FALSE,FALSE,FALSE,16-06-2021 02:47
امتحان - انتاج الطعام,com.watad.ff,Education,0,0,100+,100,437,TRUE,0,USD,5.7M,4.2 and up,Al 3MDH,https://quizjo.me,m7mod.mtwer@gmail.com,"Sep 18, 2019","Sep 19, 2019",Everyone,https://mthn-ltrby-l.flycricket.io/privacy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Comchop,com.gamsole.comchopapp,Food & Drink,4.8,5,50+,50,55,TRUE,0,USD,1.4M,4.0 and up,Gamsole Game Test,http://www.comchop.com.ng/,dejibalogun@gamsole.com,"Nov 8, 2017","Nov 08, 2017",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
Radio Redimidos.cl,com.pixelider.radioredimidoscl,Entertainment,0,0,100+,100,101,TRUE,0,USD,6.3M,4.2 and up,iDEAPP,http://www.radioredimidos.cl,contacto@redimidos.cl,"Jul 24, 2019","May 15, 2020",Everyone,http://pixelider.com/app/politica-privacidad.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Tu no Plural | Criatividade. Inovação. Ocupação.,br.com.index.plural,Events,5,6,100+,100,106,TRUE,0,USD,8.7M,4.4 and up,Index Digital,http://www.indexdigital.com.br/,mobile@indexdigital.com.br,"Jul 7, 2018","Jul 11, 2018",Everyone,http://www.indexdigital.com.br/,FALSE,FALSE,FALSE,16-06-2021 02:47
Farmally,com.farmally.app,Business,0,0,500+,500,833,TRUE,0,USD,13M,4.4 and up,Farm Ally Investment Ltd,https://farmally.com.ng/,appsdev@milesbreed.com,"Sep 8, 2019","Feb 03, 2020",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
Delicious Recipes - Typical Food,com.garudaku.deliciousrecipestypicalfood,Lifestyle,0,0,1+,1,2,TRUE,0,USD,23M,4.2 and up,Garudaku.co.id,https://garudaku.co.id,developers@garudaku.co.id,"Oct 5, 2020","Dec 10, 2020",Everyone,http://developers.garudaku.co.id/privacy-policy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Yatzy,board.yatzy.dice,Board,4.3,1012,"100,000+",100000,324983,TRUE,0,USD,25M,4.4 and up,Ironjaw Studios Private Limited,http://www.ironjawstudios.com,contact@ironjawstudios.com,"Feb 14, 2017","Jun 11, 2021",Everyone,https://www.ironjawstudios.com/privacy-policy/,TRUE,FALSE,FALSE,16-06-2021 02:47
TN - Triângulo Numérico,com.JogoSN.TN,Educational,5,19,100+,100,224,TRUE,0,USD,26M,4.1 and up,RAMINA SAMOA SILVA CAMARGO,https://sites.google.com/site/raminasamoa/,raminasamoa@gmail.com,"Oct 17, 2018","Oct 17, 2018",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
AquaTime,com.kenntech.kt550,Business,0,0,50+,50,75,TRUE,0,USD,1.4M,4.4 and up,Kenntech Tecnologia Eletrônica,http://kenntech.com.br/,contato@kenntech.com.br,"Mar 30, 2020","Jun 23, 2020",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:47
Reminder: Wash My Hands,com.holycoder.washmyhands,Health & Fitness,4.1,12,100+,100,235,TRUE,0,USD,2.2M,4.1 and up,Holy Coder,https://www.holycoder.com/,apps@holycoder.com,"Mar 24, 2020","Apr 19, 2020",Everyone,https://www.holycoder.com/privacy_policy,FALSE,FALSE,FALSE,16-06-2021 02:47
THM Food Analyzer,com.trimhealthymama.foodanalyzer,Health & Fitness,4.7,160,"10,000+",10000,28890,TRUE,0,USD,4.1M,4.4 and up,Miller Media,http://www.trimhealthymama.com,support@trimhealthymama.com,"Aug 19, 2019","Jul 02, 2020",Everyone,https://trimhealthymama.com/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:47
Planet Music,com.appstreaming.planetmusic,Music & Audio,4.6,10,"1,000+",1000,1178,TRUE,0,USD,4.7M,4.1 and up,APPSTREAMING.NET DEVELOPER,http://capasiete.com,soporte@capasiete.com,"Jul 25, 2019","Jul 25, 2019",Everyone,http://appstreaming.net/politica-de-privacidad.html,FALSE,FALSE,FALSE,16-06-2021 02:47
extendedReach,com.extendedreach.er,Medical,0,0,500+,500,741,TRUE,0,USD,9.0M,4.1 and up,Cadence Solutions LLC,http://www.extendedreach.com,support@extendedreach.com,"Aug 10, 2017","Feb 19, 2018",Everyone,https://www.extendedreach.com/extendedreach.nsf/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Mary Christmas,tamer.android.christmastree,Action,0,0,100+,100,265,TRUE,0,USD,5.1M,4.2 and up,Infinite Lab,http://infinity-lap.atwebpages.com/,tamer310@gmail.com,"Dec 27, 2016","Dec 28, 2016",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
Tegucigalpa Map and Walks,com.gpsmycity.android.u413,Travel & Local,4,6,500+,500,696,TRUE,0,USD,73M,7.0 and up,"GPSmyCity.com, Inc.",https://www.gpsmycity.com,helpdesk@gpsmycity.com,"Jul 10, 2013","Mar 18, 2021",Everyone,https://www.gpsmycity.com/privacy-policy.html,TRUE,TRUE,FALSE,16-06-2021 02:47
Shahih Sunan Abu Daud Jilid 2 Al-Albani,id.PerpustakaanIndonesia.ShahihSunanAbuDaudJilid2,Books & Reference,0,0,100+,100,127,TRUE,0,USD,17M,2.3 and up,Perpustakaan Indonesia,https://z715af2ad.app-ads-txt.com,perpustakaanindonesiaku@gmail.com,"Nov 10, 2020","Mar 22, 2021",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:47
Achieve Your Dreams,co.alexis.rfzjp,Education,0,0,1+,1,2,TRUE,0,USD,37M,4.2 and up,Education Alexis Media,,support@classplus.co,"Apr 11, 2020","Jun 10, 2021",Everyone,https://bit.ly/2YDTip0,FALSE,FALSE,FALSE,16-06-2021 02:47
Jersey Wine and Spirits,net.cityhive.store.jerseywin,Shopping,0,0,100+,100,230,TRUE,0,USD,24M,5.1 and up,City Hive Inc,,contact@cityhive.net,"Apr 2, 2020","Mar 02, 2021",Mature 17+,http://assets.cityhive.net/terms/customers/privacy_policy.html,FALSE,FALSE,FALSE,16-06-2021 02:47
Como rootear Noxplayer,com.noxroot.jimeapp,Personalization,4.2,48,"10,000+",10000,16372,TRUE,0,USD,4.2M,5.0 and up,Mindjiro,,jilmerromeromedina@gmail.com,"Dec 6, 2020","Dec 07, 2020",Everyone,https://sites.google.com/view/politica-privacida-y-jimeapp/inicio,TRUE,FALSE,FALSE,16-06-2021 02:47
Dual Camera,com.alvina.dualcamera,Photography,2.5,783,"100,000+",100000,417195,TRUE,0,USD,4.2M,4.3 and up,Alvina Gomes,,alvinagomes125@gmail.com,"May 31, 2016","Dec 12, 2020",Everyone,https://docs.google.com/document/d/1bWEM3EZZlAOtmZRQYYOZSF4Ap9Z7EYMFbisHaChDR0E/pub,TRUE,FALSE,FALSE,16-06-2021 02:47
Manga Renta,com.ebookrenta.en_app,Comics,3.7,357,"100,000+",100000,125874,TRUE,0,USD,Varies with device,Varies with device,"PAPYLESS Co., Ltd.",http://www.ebookrenta.com/,support@ebookrenta.com,"Sep 12, 2018","May 14, 2020",Teen,https://www.ebookrenta.com/renta/sc/frm/page/help/privacy_policy.htm,FALSE,FALSE,FALSE,16-06-2021 02:47
Biography of John Terry,com.historyisfun.john,Books & Reference,0,0,100+,100,107,TRUE,0,USD,3.9M,4.0.3 and up,HistoryofTheWorld,http://historyisfun1111.blogspot.com/,wanyamanyahyayaaqub@gmail.com,"Apr 7, 2019","May 07, 2020",Everyone,https://historyisfun1111.blogspot.com/p/historyoftheworld-privacy-policy.html,TRUE,TRUE,FALSE,16-06-2021 02:47
Qooper Mentorship App,com.cognatatechnologies.cooper,Communication,4.3,6,"1,000+",1000,1558,TRUE,0,USD,40M,5.0 and up,Qooper Mentoring Software,https://qooper.io/,support@qooper.io,"Nov 22, 2017","May 28, 2021",Teen,https://qooper.io/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:47
Primera Posición,app.primeraposicion.fitcoapp.net,Health & Fitness,0,0,100+,100,123,TRUE,0,USD,19M,6.0 and up,FITCO,,estefany@fitco.com.pe,"Nov 8, 2019","Jan 17, 2020",Everyone,http://www.fitcolatam.com/politica-de-privacidad/,FALSE,FALSE,FALSE,16-06-2021 02:47
Park Ji-min Wallpaper BTS,com.nadiraa.jiminwallpaperbts,Personalization,0,0,10+,10,16,TRUE,0,USD,9.0M,4.4 and up,NADIRAA,http://nadiraa.xyz/app-ads.txt,nadirasaufajaya@gmail.com,"Jun 7, 2021","Jun 08, 2021",Teen,,TRUE,FALSE,FALSE,16-06-2021 02:47
Mobile Voting(모바일보팅),kr.mobilevoting.helplife,Business,0,0,"1,000+",1000,1358,TRUE,0,USD,901k,2.1 and up,Helplife,http://mobilevoting.kr,leesh0922@naver.com,"Jun 9, 2015","Jul 16, 2015",Everyone,https://docs.google.com/document/d/1pY5JfvCVB-0jGmUPX3rpdWH6ZAlVNqU4gZxSTO5Krpk/edit?usp=sharing,FALSE,FALSE,FALSE,16-06-2021 02:47
"SkyDrop - Free File Transfer, No Signup",to.hns.skydrop,Tools,5,44,100+,100,292,TRUE,0,USD,32M,5.0 and up,Tom Makes Apps,,toxictomdude@gmail.com,"May 20, 2021","May 23, 2021",Everyone,https://siasky.net/privacy.pdf,FALSE,FALSE,FALSE,16-06-2021 02:47
"InternationalCupid - Black, White & Asian Dating",com.livegirl.videochat.internationalchat,Dating,3,7,"1,000+",1000,3656,TRUE,0,USD,9.9M,5.0 and up,Movie flix web series,,Movieflixseries@gmail.com,"Jan 23, 2021","Jan 24, 2021",Mature 17+,https://movieflixseries.blogspot.com/2021/01/filipinocupid-meet-real-filipino-women.html,TRUE,FALSE,FALSE,16-06-2021 02:47
Victorian Interiors Room By Room,com.rajawalidroid.VictorianInteriorsRoomByRoom,House & Home,2.6,5,500+,500,632,TRUE,0,USD,22M,4.0 and up,Rajawali Droid,,lilikjoko09@gmail.com,"Mar 18, 2018","Oct 28, 2018",Everyone,https://rajawalidroid.site/privacy-policy.html,TRUE,FALSE,FALSE,16-06-2021 02:47
